Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Aziba Travels,NON A/C Seater (2+1),05:30,5h 10m,10:40,3.4,₹342,17 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DONYI POLO EXPRESS,NON A/C Seater (2+1),05:30,4h 45m,10:15,3.3,₹300,23 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Karisma Aarna,A/C Seater Push Back (2+1),06:00,4h 30m,10:30,3.1,₹351,1 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,4h 30m,10:45,4.6,₹397,10 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Aziba Travels,A/C Seater (2+1),06:20,4h 50m,11:10,3.4,₹381,19 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:00,4h,11:00,4.4,₹397,9 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),09:25,5h 25m,14:50,3.5,₹297,30 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Karisma Aarna,A/C Seater Push Back (2+1),17:00,4h 30m,21:30,4.5,₹351,20 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Laxmi Travels,Bharat Benz A/C Seater (2+1),07:00,3h 45m,10:45,3.8,₹450,34 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,4h,11:30,4.5,₹399,6 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139846,Volvo A/C Seater (2+2),06:10,3h 50m,10:00,4,₹298,18 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 183468,Bharat Benz A/C Seater (2+2),06:30,4h 15m,10:45,2.5,₹270,24 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 143955,Bharat Benz A/C Seater (2+2),07:00,4h,11:00,4,₹298,27 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 173419,Bharat Benz A/C Seater (2+2),07:15,3h 35m,10:50,4,₹298,15 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 179276,Bharat Benz A/C Seater (2+2),08:00,4h,12:00,4.2,₹298,28 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 179278,Bharat Benz A/C Seater (2+2),08:30,4h 15m,12:45,4.5,₹298,26 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 167312,Bharat Benz A/C Seater (2+2),09:00,4h,13:00,4.1,₹298,23 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,4h 30m,15:00,3.6,₹298,23 Seats
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 79324,Volvo A/C Seater (2+2),13:45,4h 45m,18:30,4.4,₹298,26 Seats
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Kareng Travels,Non AC Seater (2+1),05:00,2h 30m,07:30,3.7,₹285,1 Seats
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,3h,09:15,4.7,₹284,11 Seats
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Rishi India Travels,Bharat Benz A/C Seater (2+1),06:45,2h 15m,09:00,3,₹450,31 Seats
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,NETWORK TRAVELS,NON A/C Seater (2+2),07:00,2h 30m,09:30,3.8,₹300,38 Seats
