Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,5h 10m,03:30,3.3,₹315,71 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Saurabh Travels,A/C Seater Push Back (2+2),10:30,3h 30m,14:00,1.1,₹350,42 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),12:15,4h,16:15,2.4,₹198,35 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Hari Om Travels,A/C Seater Push Back (2+2),14:30,3h 30m,18:00,1,₹269,41 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),15:30,4h,19:30,1.8,₹198,35 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,4h 30m,14:00,2.5,₹700,60 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Panwar Travels,A/C Seater / Sleeper (2+1),10:00,5h 40m,15:40,2.5,"₹3,000",30 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Shree Balajee Travels And Cargo,NON A/C Seater/ Sleeper (2+1),13:00,3h 30m,16:30,1.3,"₹1,999",40 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),13:00,4h 30m,17:30,1.3,"₹1,999",72 Seats
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),13:53,5h 27m,19:20,1,₹360,57 Seats
