Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Bedi Travels,Volvo 9600 A/C Semi Sleeper (2+2),01:45,4h 15m,06:00,4.9,₹444,4 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),01:45,4h 15m,06:00,4.5,₹675,14 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,New Walia Travels,Volvo 9600 A/C Semi Sleeper (2+2),01:45,4h 35m,06:20,4.5,₹418,9 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),14:50,5h 10m,20:00,3.8,₹404,50 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),01:50,4h 5m,05:55,4.8,₹309,4 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),01:50,4h 10m,06:00,4.5,₹399,7 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,INDO CANADIAN TRANSPORT CO PRIVATE LIMITED,Bharat Benz A/C Seater /Sleeper (2+1),01:55,4h 55m,06:50,4.3,₹299,22 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Khurana Bus Service,Volvo A/C (2+2),21:50,5h 10m,03:00,3.9,₹500,30 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,zingbus plus,Volvo 9600 A/C Semi Sleeper (2+2),02:00,4h 40m,06:40,4.6,₹345,6 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,zingbus plus,Volvo 9600 A/C Semi Sleeper (2+2),02:35,4h 15m,06:50,4.2,₹383,6 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165681,HVAC Seater (2+3),07:00,5h 35m,12:35,4.3,₹414,46 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165684,HVAC Seater (2+3),07:55,5h 35m,13:30,4.4,₹414,47 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165687,HVAC Seater (2+3),08:25,5h 35m,14:00,4.3,₹414,47 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165676,HVAC Seater (2+3),09:25,5h 35m,15:00,4.3,₹414,47 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,5h 35m,16:05,3.9,₹414,47 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,5h 35m,16:55,4.4,₹414,42 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,5h 35m,18:05,3.7,₹414,45 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,5h 35m,19:35,3.5,₹414,47 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,5h 35m,20:05,3.3,₹414,47 Seats
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,5h 35m,21:05,3.8,₹414,47 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),02:30,5h,07:30,3,₹599,17 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Vijay Tour and Travels,Bharat Benz A/C Sleeper (2+1),04:00,5h 20m,09:20,3.6,₹799,20 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),06:00,5h,11:00,4.3,₹549,2 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),08:30,5h 25m,13:55,4.2,₹449,40 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Seater (2+2),06:00,5h 35m,11:35,4.2,₹361,26 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Semi Sleeper (2+2),06:05,5h 30m,11:35,4,₹494,14 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,FlixBus,A/C Semi Sleeper (2+2),06:15,5h 25m,11:40,4.1,₹267,24 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,City Land Travels,Volvo A/C Semi Sleeper (2+2),09:40,5h 30m,15:10,4.7,₹540,26 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,zingbus plus,Volvo 9600 A/C Semi Sleeper (2+2),21:00,5h,02:00,4.5,₹500,32 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Seater (2+2),06:30,5h 35m,12:05,4,₹361,37 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 2100720,Ordinary 3+2 Non AC Seater,05:00,5h 50m,10:50,3.7,₹275,36 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 689,A/C Executive (2+3),05:20,5h 10m,10:30,3.7,₹400,42 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 886,Ordinary 3+2 Non AC Seater,06:20,5h 50m,12:10,3.8,₹290,37 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 505,Ordinary 3+2 Non AC Seater,06:40,5h 40m,12:20,2.9,₹285,36 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 533,Ordinary 3+2 Non AC Seater,07:20,5h 10m,12:30,3.6,₹290,37 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 592,A/C Executive (2+3),08:05,5h 25m,13:30,2.7,₹400,40 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,5h 40m,14:30,2.9,₹290,37 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,5h 15m,14:40,3.5,₹543,17 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 513,Ordinary 3+2 Non AC Seater,10:30,4h 30m,15:00,3.4,₹290,27 Seats
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 514,Ordinary 3+2 Non AC Seater,11:30,6h 10m,17:40,4.3,₹290,37 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,A/C Seater/Sleeper (2+1),22:30,2h,00:30,3.7,₹583,26 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,Volvo A/C Semi Sleeper (2+2),23:30,2h 30m,02:00,3.7,₹585,29 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Vijay Tour and Travels,Bharat Benz A/C Sleeper (2+1),01:50,2h 20m,04:10,3.6,₹854,34 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,New Khaira TPT,A/C Sleeper (2+1),23:05,,01:10,3.5,"₹1,283",30 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,SHIV BHOLE TOUR AND TRAVELS,A/C Sleeper (2+1),03:59,1h 40m,05:39,4.7,"₹2,381",22 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Gajraj bus service,Volvo 9600 A/C Sleeper (2+1),19:55,2h 35m,22:30,3.8,"₹1,049",36 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Zimindara Travels,AC Sleeper (2+1),20:00,2h 45m,22:45,3.8,₹899,36 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Gajraj bus service,Volvo 9600 A/C Sleeper (2+1),19:55,2h 20m,22:15,3.8,₹849,36 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Shri Krishna Travels ( Jai Shree Ganesh Yatra Co.),A/C Sleeper (2+2),22:40,2h 50m,01:30,3.8,"₹1,099",36 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Mahalaxmi Travels,A/C Sleeper (2+1),02:30,2h,04:30,3.8,₹499,18 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165754,HVAC Seater (2+3),06:20,2h 45m,09:05,3.6,₹196,41 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165750,HVAC Seater (2+3),12:20,2h 45m,15:05,3.8,₹196,47 Seats
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165752,HVAC Seater (2+3),14:20,2h 45m,17:05,4.1,₹196,46 Seats
Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Chandigarh Transport Undertaking (CTU) - 165938,HVAC Seater (2+3),20:00,9h 45m,05:45,4.1,₹635,25 Seats
Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:00,9h 30m,05:30,2.9,₹899,10 Seats
Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,GK Travels,A/C Seater/Sleeper (2+1),16:00,8h,00:00,3.5,₹664,31 Seats
Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,KISSAN TRAVELS PILANI,Bharat Benz A/C Seater /Sleeper (2+1),23:30,7h 45m,07:15,3.9,"₹1,091",30 Seats
Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Hariom Travels,A/C Seater / Sleeper (2+1),16:00,8h,00:00,2.7,"₹1,749",36 Seats
Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh,HRTC - 587,Ordinary 3+2 Non AC Seater,14:00,9h 5m,23:05,3.7,₹455,32 Seats
Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165939,HVAC Seater (2+3),16:00,9h 45m,01:45,3.9,₹635,41 Seats
Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh,KISSAN TRAVELS PILANI,Bharat Benz A/C Seater /Sleeper (2+1),18:40,9h 30m,04:10,3.1,"₹1,044",26 Seats
Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:10,8h 20m,07:30,2.7,₹849,33 Seats
Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh,KISSAN TRAVELS PILANI,Bharat Benz A/C Seater /Sleeper (2+1),18:50,7h 37m,02:27,3.3,"₹1,614",48 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,ORBIT AVIATION PRIVATE LIMITED,Mercedes Benz Multi-Axle Semi Sleeper (2+2),01:45,2h,03:45,3.7,₹286,37 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Sagar Bus Transport,Scania A/C Semi Sleeper (2+2),02:10,2h 20m,04:30,4,₹290,35 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,INDO CANADIAN TRANSPORT CO PRIVATE LIMITED,Bharat Benz A/C Seater /Sleeper (2+1),02:20,1h 50m,04:10,4.2,₹299,10 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,ORBIT AVIATION PRIVATE LIMITED,Mercedes Benz Multi-Axle Semi Sleeper (2+2),07:05,2h,09:05,4.5,₹286,31 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),07:25,1h 50m,09:15,4.5,₹300,36 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,Mercedes A/C Seater (2+2),07:35,1h 55m,09:30,4.6,₹300,41 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),08:10,1h 45m,09:55,4.7,₹300,41 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,ORBIT AVIATION PRIVATE LIMITED,Mercedes Benz Multi-Axle Semi Sleeper (2+2),08:35,2h,10:35,3.7,₹286,39 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),08:55,1h 45m,10:40,4.9,₹300,43 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),09:20,1h 40m,11:00,4.5,₹300,40 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165808,HVAC Seater (2+3),06:12,2h 45m,08:57,3.8,₹181,46 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165802,HVAC Seater (2+3),10:15,3h,13:15,3,₹181,47 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165804,HVAC Seater (2+3),12:40,2h 45m,15:25,3,₹181,47 Seats
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165806,HVAC Seater (2+3),16:35,2h 45m,19:20,3.3,₹181,43 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,4h 10m,00:30,4.2,₹599,16 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,Volvo A/C Semi Sleeper (2+2),20:30,4h 5m,00:35,3.9,₹669,13 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,3h 45m,01:30,3.2,₹580,22 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,Volvo A/C Semi Sleeper (2+2),22:00,4h 20m,02:20,5,₹649,23 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),22:05,4h 35m,02:40,4.9,₹519,30 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),22:05,3h 25m,01:30,4.1,₹675,19 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),22:25,3h 20m,01:45,4.5,₹729,18 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Kritika Tour & Travels,HVAC Seater (2+3),07:35,4h 5m,11:40,2.8,₹370,20 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,Volvo 9600 A/C Semi Sleeper (2+2),20:10,3h 40m,23:50,4.4,"₹1,799",26 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 6651,Ordinary 3+2 Non AC Seater,04:05,5h 15m,09:20,3.8,₹332,41 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 649,A/C Executive (2+3),04:45,3h 45m,08:30,4.3,₹365,18 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 654,A/C Executive (2+3),05:20,4h 40m,10:00,4.7,₹427,41 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 616,A/C Executive (2+3),06:00,3h 50m,09:50,4.3,₹365,19 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 652,Ordinary 3+2 Non AC Seater,06:20,6h 40m,13:00,3.8,₹402,37 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 401269,Ordinary 3+2 Non AC Seater,06:30,4h,10:30,4.2,₹335,35 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 624,Ordinary 3+2 Non AC Seater,06:45,5h 5m,11:50,3.6,₹357,27 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 617,Ordinary 3+2 Non AC Seater,07:30,6h 40m,14:10,3.8,₹392,36 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 641,A/C Executive (2+3),08:20,4h,12:20,4.2,₹365,5 Seats
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 618,Ordinary 3+2 Non AC Seater,09:00,6h 20m,15:20,4.7,₹392,35 Seats
Chandigarh to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,RSRTC - 192344,Volvo A/C Seater (2+2),10:30,3h 30m,14:00,3.7,₹595,34 Seats
Chandigarh to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,FlixBus,A/C Seater (2+2),03:30,4h 10m,07:40,5,₹579,35 Seats
