Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,zingbus plus,Bharat Benz A/C Sleeper (2+1),20:05,12h 55m,09:00,4.8,"₹1,866",19 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Butterfly Holidays,VE A/C Sleeper (2+1),21:10,12h 25m,09:35,4.7,"₹1,899",3 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,13h,10:00,4.5,"₹1,999",5 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,IntrCity SmartBus,A/C Sleeper (2+1),20:15,14h,10:15,4.5,"₹1,906",15 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Sunrise Tours and Travels,A/C Sleeper (2+1),22:00,12h 40m,10:40,4.3,"₹1,999",10 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,FlixBus,Bharat Benz A/C Sleeper (2+1),20:00,13h 35m,09:35,4.4,"₹1,678",4 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:00,14h,11:00,4.2,"₹1,650",26 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,VKV Travels,A/C Sleeper (2+1),22:55,11h 5m,10:00,4.1,"₹1,948",14 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Streamline tours and travels,A/C Sleeper (2+1),22:00,13h,11:00,3.9,"₹1,739",25 Seats
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Sea Bird Tourist,NON A/C Sleeper (2+1),18:00,13h 30m,07:30,3.8,"₹1,080",15 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Kadamba Transport Corporation Limited (KTCL) - 180243,A/C Sleeper (2+1),18:30,13h,07:30,3.7,₹800,13 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,IntrCity SmartBus,A/C Sleeper (2+1),16:00,13h 30m,05:30,4.6,₹898,10 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,zingbus plus,Bharat Benz A/C Sleeper (2+1),17:25,12h 35m,06:00,4.7,₹900,26 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,12h 30m,06:30,4.4,₹999,14 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Sunrise Tours and Travels,Bharat Benz A/C Sleeper (2+1),18:30,12h 40m,07:10,4.4,₹999,16 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,VKV Travels,A/C Sleeper (2+1),13:30,12h 25m,01:55,4.4,"₹1,150",24 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Sunrise Tours and Travels,A/C Sleeper (2+1),20:00,11h 30m,07:30,4.3,₹999,13 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Streamline tours and travels,A/C Sleeper (2+1),18:30,13h,07:30,4,₹999,24 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,FlixBus,Bharat Benz A/C Sleeper (2+1),17:30,13h 25m,06:55,4.2,"₹1,017",31 Seats
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Limousine Tours & Travels,A/C Sleeper (2+1),17:40,13h 15m,06:55,3.9,₹949,27 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 180183,A/C Sleeper (2+1),20:30,9h 30m,06:00,4.1,"₹1,200",4 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.7,₹999,11 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:25,10h 5m,07:30,4.5,₹667,30 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:30,10h 30m,09:00,4.4,"₹1,169",11 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels Benz,Bharat Benz A/C Sleeper (2+1),21:35,11h 30m,09:05,4.5,₹900,10 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,Bharat Benz A/C Sleeper (2+1),23:30,9h 15m,08:45,4.5,₹999,11 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.5,₹999,24 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,zingbus plus,Bharat Benz A/C Sleeper (2+1),22:05,10h 40m,08:45,4.7,₹963,21 Seats
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,zingbus plus,Bharat Benz A/C Sleeper (2+1),23:55,10h,09:55,4.5,₹919,7 Seats
