Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO PRIVATE LIMITED,Volvo 9600 Multi-Axle A/C Sleeper (2+1),11:05,5h 40m,16:45,4.2,"₹2,667",35 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),01:30,7h,08:30,0,"₹2,857",48 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),17:30,7h,00:30,0,"₹2,857",50 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),20:30,7h,03:30,0,"₹2,857",51 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:30,7h,06:30,0,"₹2,857",45 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),02:30,7h,09:30,0,"₹2,857",44 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),05:20,7h,12:20,0,"₹2,857",50 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),06:40,7h,13:40,0,"₹2,857",48 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),08:40,7h,15:40,0,"₹2,857",51 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),14:15,7h,21:15,0,"₹2,857",51 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67085,Volvo A/C Seater (2+2),03:00,5h,08:00,4.4,₹702,29 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67069,Volvo A/C Seater (2+2),08:00,5h 30m,13:30,4.3,₹702,15 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67105,AC Seater Hvac 2+2,09:50,5h 30m,15:20,3.2,₹445,33 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66665,Volvo A/C Seater (2+2),14:01,4h 59m,19:00,3.5,₹702,35 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66689,Volvo A/C Seater (2+2),15:26,4h 59m,20:25,3.9,₹702,34 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo A/C Seater (2+2),17:30,5h,22:30,3.9,₹702,31 Seats
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:30,5h 30m,04:00,3.1,₹445,17 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO PRIVATE LIMITED,Volvo 9600 Multi-Axle A/C Sleeper (2+1),12:30,7h 55m,20:25,4.2,"₹3,334",32 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),01:55,7h,08:55,0,"₹2,857",48 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),08:00,7h,15:00,0,"₹2,857",45 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),10:00,7h,17:00,0,"₹2,857",17 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Mercedes Benz Multi-Axle Semi Sleeper (2+2),12:00,7h,19:00,0,"₹2,857",51 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Volvo A/C Sleeper (2+1),14:00,7h,21:00,0,"₹3,333",30 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Mercedes Benz Multi-Axle Semi Sleeper (2+2),14:00,7h,21:00,0,"₹2,857",51 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Volvo Multi-Axle A/C Semi Sleeper (2+2),16:00,7h,23:00,0,"₹2,857",18 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Volvo A/C Sleeper (2+1),18:00,7h,01:00,0,"₹3,333",29 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,INDO CANADIAN TRANSPORT CO,Mercedes Benz Multi-Axle Semi Sleeper (2+2),20:00,7h,03:00,0,"₹2,857",28 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66646,Volvo A/C Seater (2+2),05:00,5h 1m,10:01,4.4,₹702,28 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66647,Volvo A/C Seater (2+2),06:15,5h 1m,11:16,4.1,₹702,30 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66648,Volvo A/C Seater (2+2),09:50,5h 1m,14:51,4.2,₹702,23 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66649,Volvo A/C Seater (2+2),12:40,6h 9m,18:49,4.3,₹702,34 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,15:25,5h 1m,20:26,2.4,₹445,35 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo A/C Seater (2+2),16:00,6h 9m,22:09,3.8,₹702,27 Seats
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,5h 1m,03:31,3.7,₹459,37 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Semi Sleeper (2+2),23:15,6h 50m,06:05,4.6,₹485,31 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),23:35,6h 5m,05:40,4.6,₹416,32 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:35,6h 15m,04:50,4.6,₹350,37 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,INDO CANADIAN TRANSPORT CO PRIVATE LIMITED,Bharat Benz A/C Seater /Sleeper (2+1),08:10,5h 50m,14:00,4.5,₹412,25 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,6h 40m,06:30,4.4,₹449,30 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Armaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,6h 10m,05:00,4,₹539,48 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Semi Sleeper (2+2),11:00,6h 50m,17:50,4.2,₹456,25 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),16:05,7h 10m,23:15,3.2,₹445,29 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,5h 55m,05:20,4.2,₹449,23 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,INDO CANADIAN TRANSPORT CO PRIVATE LIMITED,Bharat Benz A/C Seater /Sleeper (2+1),12:50,7h,19:50,4.4,₹404,29 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67134,Volvo A/C Seater (2+2),06:40,5h 50m,12:30,4.1,₹873,31 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67173,Volvo A/C Seater (2+2),14:30,7h 1m,21:31,4.3,₹873,20 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67096,Volvo A/C Seater (2+2),16:30,6h 50m,23:20,2.4,₹873,35 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,Volvo A/C Seater (2+2),19:35,6h 25m,02:00,3.8,₹873,36 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo A/C Seater (2+2),20:50,7h 10m,04:00,4.2,₹873,37 Seats
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67178,Volvo A/C Seater (2+2),21:50,6h 50m,04:40,3.9,₹873,36 Seats
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),22:30,6h 35m,05:05,4.7,₹672,29 Seats
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),23:15,6h 40m,05:55,4.5,₹592,27 Seats
