Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chandra Raj Travels,A/C Seater (2+2),08:00,5h,13:00,3.4,₹320,37 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),08:45,5h 5m,13:50,3.1,₹330,36 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,11:00,4h 30m,15:30,3.8,₹330,42 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,A/C Seater / Sleeper (2+1),14:00,4h,18:00,3.2,₹430,39 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,A/C Sleeper (2+1),15:30,4h 30m,20:00,4.4,₹650,37 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),15:30,5h,20:30,3.3,₹330,39 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,bhaiya travels,NON A/C Sleeper (2+1),17:00,5h 12m,22:12,4.1,₹500,36 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,5h 55m,22:55,3.3,₹330,38 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jakhar Travels,NON A/C Seater/ Sleeper (2+1),18:00,5h 15m,23:15,4,₹450,38 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,NON A/C Seater/ Sleeper (2+1),18:30,5h 10m,23:40,4.4,₹495,41 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 199450,Express Non AC Seater 2+3,04:45,4h 30m,09:15,4,₹229,42 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 201197,Volvo A/C Seater (2+2),06:00,3h 50m,09:50,4.3,₹460,25 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 199865,Volvo A/C Seater (2+2),07:00,3h 50m,10:50,3.1,₹460,25 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 201621,Volvo A/C Seater (2+2),08:00,3h 50m,11:50,4.2,₹460,27 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 194536,Volvo A/C Seater (2+2),09:05,4h 5m,13:10,4,₹460,35 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193432,Express Non AC Seater 2+3,10:00,5h 45m,15:45,4,₹226,42 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 179321,Express Non AC Seater 2+3,10:00,4h 30m,14:30,4,₹229,42 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 179320,Express Non AC Seater 2+3,10:15,4h 25m,14:40,4,₹229,42 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 164138,Express Non AC Seater 2+3,10:30,4h 30m,15:00,4,₹229,42 Seats
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 194531,Volvo A/C Seater (2+2),11:00,4h,15:00,4.3,₹460,36 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,M R Travels,Bharat Benz A/C Sleeper (2+1),22:30,7h,05:30,4.7,₹600,31 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jain travels regd,AC Sleeper (2+1),22:30,6h 35m,05:05,4.5,₹600,32 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Gajraj Travels,A/C Sleeper (2+1),22:15,7h 20m,05:35,4.4,₹600,26 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jain travels regd,A/C Seater / Sleeper (2+1),23:00,7h,06:00,4.2,₹450,39 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,M R Travels,A/C Seater / Sleeper (2+1),23:35,6h 35m,06:10,4.1,₹510,34 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jain travels regd,NON AC Seater / Sleeper 2+1,21:45,7h 15m,05:00,3.8,₹350,41 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jakhar Travels,A/C Seater / Sleeper (2+1),21:00,7h,04:00,3.6,₹429,37 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jain travels regd,A/C Sleeper (2+1),02:33,6h 51m,09:24,4.7,₹550,19 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Chandra Raj Travels,A/C Seater (2+2),16:00,7h,23:00,4.4,₹450,38 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Shailu Tour and Travels,A/C Seater / Sleeper (2+1),20:00,9h 4m,05:04,3.5,₹500,32 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 179809,NON AC Seater / Sleeper 2+1,02:25,7h 25m,09:50,3.4,₹448,30 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 194409,Express Non AC Seater 2+3,04:45,7h 45m,12:30,3.4,₹363,42 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 199298,Express Non AC Seater 2+3,05:50,7h 40m,13:30,3.4,₹363,42 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 182397,Express Non AC Seater 2+3,06:14,7h 46m,14:00,3.4,₹363,42 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 170971,Volvo A/C Seater (2+2),06:30,6h 15m,12:45,4.1,₹740,14 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 167408,Express Non AC Seater 2+3,07:00,7h 40m,14:40,3.4,₹363,42 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 160780,Volvo A/C Seater (2+2),07:30,6h 15m,13:45,4,₹740,10 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 195910,Express Non AC Seater 2+3,08:06,7h 39m,15:45,4.1,₹363,42 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 142360,Volvo A/C Seater (2+2),08:30,6h 15m,14:45,2.9,₹740,26 Seats
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,RSRTC - 186234,Volvo A/C Seater (2+2),09:30,6h 30m,16:00,3.6,₹740,29 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,A/C Seater / Sleeper (2+1),00:40,2h 50m,03:30,3.7,₹350,15 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,New marudhar and rajswer travelsp,A/C Seater / Sleeper (2+1),00:50,4h 47m,05:37,3.9,₹571,18 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Chandra Raj Travels,NON A/C Sleeper (2+1),01:00,4h 5m,05:05,3.4,₹400,26 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,M R Travels,A/C Seater / Sleeper (2+1),01:10,3h 30m,04:40,3.9,₹510,29 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Babu Travels,Bharat Benz A/C Seater /Sleeper (2+1),01:15,2h 30m,03:45,4.1,₹494,17 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,NON AC Seater / Sleeper 2+1,01:36,4h 36m,06:12,3.7,₹300,42 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,AC Sleeper (2+1),01:40,4h 30m,06:10,3.7,₹500,36 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,V k jain travels,NON A/C Seater/ Sleeper (2+1),01:50,3h 35m,05:25,3.1,₹350,34 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Shri Ganesh Travels (LR SIYOL),A/C Seater / Sleeper (2+1),02:30,3h,05:30,3,₹400,38 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,Pooja Yaduvanshi Travels,A/C Sleeper (2+1),02:35,3h 25m,06:00,4.1,₹550,6 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 192299,Volvo A/C Seater (2+2),01:45,3h 45m,05:30,4.5,₹424,28 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 189583,NON AC Seater / Sleeper 2+1,02:45,3h 45m,06:30,3.8,₹282,20 Seats
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 173716,NON AC Seater / Sleeper 2+1,03:30,4h 30m,08:00,3.8,₹324,24 Seats
