Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:59,6h 1m,06:00,4.8,₹680,12 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,4h 20m,04:00,4.3,₹360,25 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,YASHWANTH BUS,Non A/C Seater / Sleeper (2+1),23:59,5h 1m,05:00,4.4,₹500,30 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,5h 31m,05:30,4.6,₹600,16 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,VSR Tours and Travels,A/C Sleeper (2+1),00:14,5h 46m,06:00,4.7,₹549,8 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,5h 15m,06:45,4.6,₹500,16 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,5h 1m,05:00,4.1,₹500,33 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:58,5h 2m,05:00,3.8,₹499,26 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,6h 1m,06:00,4,₹680,22 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours and Travels,NON A/C Seater/ Sleeper (2+1),00:30,4h 30m,05:00,3.4,₹390,40 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:15,5h 5m,05:20,4.5,₹320,29 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8989,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:25,4h 20m,04:45,2.4,₹320,29 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8885,Lahari Non A/C Sleeper Cum Seater,01:15,3h 25m,04:40,3,₹320,19 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8615,Rajdhani (AC Semi Sleeper 2+2),03:15,5h,08:15,1.9,₹389,24 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1976,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:20,2h 55m,06:15,3.8,₹321,19 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8653,Rajdhani (AC Semi Sleeper 2+2),04:00,3h,07:00,3.7,₹389,22 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8611,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:30,3h 40m,08:10,3.6,₹320,26 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8688,Rajdhani (AC Semi Sleeper 2+2),04:45,3h,07:45,3.5,₹389,18 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8627,Rajdhani (AC Semi Sleeper 2+2),05:00,3h 30m,08:30,3.2,₹389,22 Seats
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8649,Rajdhani (AC Semi Sleeper 2+2),05:30,3h,08:30,0,₹389,29 Seats
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Tanuj Travels,Non A/C Seater / Sleeper (2+1),22:00,9h 45m,07:45,4,₹561,19 Seats
