Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira TPT,Bharat Benz A/C Sleeper (2+1),23:45,5h,04:45,4.6,₹855,23 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),17:30,6h 20m,23:50,3.1,₹649,32 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:10,6h 10m,01:20,3.3,₹599,19 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira TPT,A/C Sleeper (2+1),23:15,5h 45m,05:00,4.3,₹618,21 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:20,5h 20m,04:40,4,₹629,12 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),10:00,5h 30m,15:30,4,₹600,20 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),22:00,6h,04:00,2.5,₹449,43 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),15:15,5h 35m,20:50,3.9,₹271,38 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),12:00,5h,17:00,3,₹255,35 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Sleeper (2+1),23:58,5h 2m,05:00,3.8,₹674,9 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - SDN0020,Ordinary Express Non AC Seater 2+2,02:28,6h 2m,08:30,3.3,₹451,35 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HPR0113,Ordinary Express Non AC Seater 2+2,02:30,6h,08:30,3.3,₹414,35 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HPR0115,Ordinary Express Non AC Seater 2+2,02:50,6h 40m,09:30,3.3,₹419,35 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HPR0136,Ordinary Express Non AC Seater 2+2,03:00,6h 1m,09:01,3.3,₹414,35 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HPR0114,Ordinary Express Non AC Seater 2+2,03:00,6h,09:00,3.3,₹414,52 Seats
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RPD0042,Ordinary Express Non AC Seater 2+2,03:05,7h 40m,10:45,3.3,₹451,35 Seats
