Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,ESTEEM TOURS & TRAVELS,Bharat Benz A/C Seater /Sleeper (2+1),21:00,9h 55m,06:55,4.6,"₹1,200",9 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,A/C Seater / Sleeper (2+1),22:30,9h,07:30,4.3,"₹1,099",16 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tours & Travels,A/C Sleeper (2+1),21:15,8h 30m,05:45,4.4,"₹1,399",12 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SAAM BUS,VE A/C Sleeper (2+1),21:45,9h,06:45,3.8,"₹1,300",10 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,A/C Sleeper (2+1),22:45,8h 30m,07:15,4.2,"₹1,349",13 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,9h,07:30,3.9,"₹1,499",14 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h,09:00,3.9,₹999,30 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DA Transports,A/C Sleeper (2+1),21:45,9h 10m,06:55,3.6,"₹1,449",22 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),21:30,8h 30m,06:00,4,"₹1,099",21 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Highline Transports,VE A/C Sleeper (2+1),21:25,9h,06:25,3.9,"₹1,391",24 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 581,Swift Deluxe Non AC Air Bus (2+2),10:00,7h 45m,17:45,4.1,₹781,17 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:00,8h 5m,20:05,3.6,"₹1,089",25 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 3922,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,12:55,7h 50m,20:45,3.8,₹781,17 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 3848,AC MULTI AXLE,13:47,7h 39m,21:26,1.3,"₹1,253",21 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,8h 10m,22:25,4.1,"₹1,089",33 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,10h 10m,01:10,3.5,₹853,22 Seats
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,8h 5m,23:30,3.7,"₹1,253",19 Seats
